GEN		MAX FITNESS
0		0.0
1		460.0
2		414.0
3		422.0
4		441.0
5		410.0
6		457.0
7		478.0
8		432.0
9		462.0
10		417.0
11		400.0
12		396.0
13		411.0
14		427.0
15		377.0
16		337.0
17		328.0
18		313.0
19		301.0
20		342.0
21		319.0
22		272.0
23		250.0
24		181.0
25		347.0
26		370.0
27		191.0
28		249.0
29		319.0
30		199.0
31		237.0
32		288.0
33		195.0
34		329.0

GEN		AVG FITNESS
0		0.0
1		272.3333333333333
2		275.8333333333333
3		324.5
4		322.1666666666667
5		323.5
6		334.1666666666667
7		321.5
8		283.5
9		271.0
10		290.5
11		265.0
12		307.6666666666667
13		284.0
14		293.3333333333333
15		259.1666666666667
16		203.5
17		165.16666666666666
18		201.5
19		196.16666666666666
20		216.16666666666666
21		212.83333333333334
22		188.0
23		170.83333333333334
24		105.5
25		212.5
26		191.0
27		121.33333333333333
28		149.33333333333334
29		152.33333333333334
30		141.16666666666666
31		141.5
32		177.66666666666666
33		153.66666666666666
34		163.66666666666666

GEN		MAX OFFSPRING FITNESS
0		460.0
1		414.0
2		422.0
3		441.0
4		410.0
5		457.0
6		478.0
7		432.0
8		462.0
9		417.0
10		400.0
11		396.0
12		411.0
13		427.0
14		377.0
15		337.0
16		328.0
17		313.0
18		301.0
19		342.0
20		319.0
21		272.0
22		250.0
23		181.0
24		347.0
25		370.0
26		191.0
27		249.0
28		319.0
29		199.0
30		237.0
31		288.0
32		195.0
33		329.0
34		221.0

GEN		AVG OFFSPRING FITNESS
0		60.733333333333334
1		55.166666666666664
2		64.23333333333333
3		63.666666666666664
4		64.7
5		68.7
6		64.3
7		56.9
8		57.833333333333336
9		58.36666666666667
10		53.0
11		60.166666666666664
12		55.36666666666667
13		61.03333333333333
14		52.233333333333334
15		43.86666666666667
16		33.03333333333333
17		29.933333333333334
18		41.733333333333334
19		43.733333333333334
20		40.63333333333333
21		37.6
22		31.166666666666668
23		22.8
24		42.5
25		35.0
26		24.3
27		29.866666666666667
28		33.06666666666667
29		25.966666666666665
30		30.833333333333332
31		33.86666666666667
32		30.466666666666665
33		38.3
34		31.7

GEN		BEST INDIVIDUAL
0		fitness: 460.0, genome: [3.95, 3.02, 2.48, 3.083934060237259] 0.268443088124654
1		fitness: 460.0, genome: [3.95, 3.02, 2.48, 3.083934060237259] 0.8242600757554737
2		fitness: 422.0, genome: [3.95, 3.0, 2.49, 3.083934060237259] 1.0773470286834148
3		fitness: 441.0, genome: [3.95, 3.02, 2.48, 5.0] 1.4809983694895639
4		fitness: 441.0, genome: [3.95, 3.02, 2.48, 5.0] 0.3218674251238056
5		fitness: 457.0, genome: [3.95, 3.02, 2.48, 5.0] 1.4271112538545256
6		fitness: 478.0, genome: [3.95, 5.0, 2.48, 5.0] 1.5433650235424863
7		fitness: 478.0, genome: [3.95, 5.0, 2.48, 5.0] 1.0213323540475954
8		fitness: 462.0, genome: [3.95, 1.0, 2.49, 5.0] 1.9046762725972282
9		fitness: 462.0, genome: [3.95, 1.0, 2.49, 5.0] 0.12479241438078281
10		fitness: 417.0, genome: [3.95, 1.0, 2.49, 5.0] 1.4427321096225778
11		fitness: 400.0, genome: [3.95, 2.58, 1.0, 5.0] 1.4523173900607589
12		fitness: 411.0, genome: [3.95, 2.58, 1.0, 5.0] 1.0356032687488608
13		fitness: 427.0, genome: [3.93, 2.58, 1.0, 5.0] 1.0136288625771381
14		fitness: 427.0, genome: [3.93, 2.58, 1.0, 5.0] 1.5987673388738255
15		fitness: 377.0, genome: [3.95, 1.0, 1.0, 5.0] 0.6613710844886378
16		fitness: 337.0, genome: [3.95, 1.8, 1.0, 5.0] 1.1161417024144178
17		fitness: 328.0, genome: [3.95, 1.81, 1.0, 5.0] 1.6199114786852131
18		fitness: 313.0, genome: [3.95, 2.33, 1.0, 5.0] 0.8932985205723476
19		fitness: 342.0, genome: [3.95, 2.33, 1.01, 5.0] 0.8711367276722384
20		fitness: 342.0, genome: [3.95, 2.33, 1.01, 5.0] 1.9582810413760579
21		fitness: 319.0, genome: [3.95, 2.33, 1.01, 5.0] 1.9939429701177986
22		fitness: 272.0, genome: [3.93, 1.0, 1.01, 5.0] 1.7371719957059635
23		fitness: 250.0, genome: [3.93, 1.0, 1.01, 5.0] 0.2936205089329682
24		fitness: 347.0, genome: [3.93, 1.0, 1.01, 5.0] 1.4022522171188356
25		fitness: 370.0, genome: [3.93, 1.0, 1.01, 5.0] 1.2475164821946856
26		fitness: 370.0, genome: [3.93, 1.0, 1.01, 5.0] 1.1398850653674686
27		fitness: 249.0, genome: [3.93, 1.0, 1.01, 2.2702795517065186] 1.8552330277659879
28		fitness: 319.0, genome: [3.93, 1.0, 1.0, 2.2702795517065186] 0.33521355519561435
29		fitness: 319.0, genome: [3.93, 1.0, 1.0, 2.2702795517065186] 1.0002594082428247
30		fitness: 237.0, genome: [3.93, 1.0, 1.0, 2.2552795517065185] 1.4618984523342704
31		fitness: 288.0, genome: [3.93, 1.45, 1.0, 1.0] 1.5803346296798848
32		fitness: 288.0, genome: [3.93, 1.45, 1.0, 1.0] 0.9701814552091417
33		fitness: 329.0, genome: [3.93, 1.45, 1.0, 1.0] 0.7471998870118197
34		fitness: 329.0, genome: [3.93, 1.45, 1.0, 1.0] 1.3093772411262252

GEN		BEST PARENT
0		fitness: 0.0, genome: [1.41, 2.84, 4.91, 1.047616534244645] 1.0336152436798
1		fitness: 460.0, genome: [3.95, 3.02, 2.48, 3.083934060237259] 1.9662882214496213
