GEN		MAX FITNESS
0		82.8
1		54.6
2		54.0
3		61.0
4		72.4
5		51.6
6		56.8
7		43.8
8		57.2
9		54.6
10		56.4
11		55.8
12		62.6
13		60.8
14		49.6
15		59.4
16		64.8
17		51.2
18		51.2
19		52.2
20		61.4
21		70.2
22		56.8
23		60.2
24		62.6
25		56.0
26		66.6
27		60.4
28		61.2
29		62.6
30		62.0
31		65.8
32		61.2
33		73.2
34		64.8

GEN		AVG FITNESS
0		36.31428571428571
1		39.0
2		36.0
3		44.51428571428572
4		41.371428571428574
5		34.48571428571429
6		42.65714285714286
7		32.37142857142857
8		40.885714285714286
9		36.285714285714285
10		39.542857142857144
11		39.57142857142857
12		37.45714285714286
13		46.028571428571425
14		33.6
15		41.457142857142856
16		51.199999999999996
17		33.45714285714286
18		35.371428571428574
19		38.142857142857146
20		43.42857142857144
21		39.08571428571428
22		44.08571428571429
23		40.68571428571429
24		37.51428571428572
25		38.628571428571426
26		48.91428571428571
27		44.99999999999999
28		45.31428571428571
29		47.51428571428572
30		41.857142857142854
31		48.8
32		41.34285714285714
33		42.34285714285715
34		46.48571428571429

GEN		BEST INDIVIDUAL
0		fitness: 82.8, genome: [4.77, 4.26, 1.37, 3.933035634177989]
1		fitness: 54.6, genome: [4.77, 2.33, 1.37, 3.933035634177989]
2		fitness: 54.0, genome: [3.64, 4.16, 1.4, 4.026091920248526]
3		fitness: 61.0, genome: [4.77, 2.31, 1.37, 3.9330356341779895]
4		fitness: 72.4, genome: [4.77, 2.31, 1.37, 3.9330356341779895]
5		fitness: 51.6, genome: [4.28, 3.34, 2.32, 3.9816096495407196]
6		fitness: 56.8, genome: [4.28, 3.34, 2.32, 3.9816096495407196]
7		fitness: 43.8, genome: [4.56, 3.31, 2.23, 3.949246189664854]
8		fitness: 57.2, genome: [3.93, 3.38, 1.39, 3.9378516574963536]
9		fitness: 54.6, genome: [3.93, 3.38, 1.39, 3.9378516574963536]
10		fitness: 56.4, genome: [4.0, 3.34, 1.46, 3.939071565241777]
11		fitness: 55.8, genome: [4.15, 3.38, 1.55, 4.191512268642145]
12		fitness: 62.6, genome: [4.17, 3.38, 1.59, 4.155051976299692]
13		fitness: 60.8, genome: [4.17, 3.38, 1.59, 4.155051976299692]
14		fitness: 49.6, genome: [4.16, 3.38, 1.59, 4.158309478038763]
15		fitness: 59.4, genome: [4.16, 3.38, 1.06, 4.153464632240615]
16		fitness: 64.8, genome: [4.16, 3.38, 1.58, 4.155103363975389]
17		fitness: 51.2, genome: [1.97, 3.19, 1.54, 4.14954060620926]
18		fitness: 51.2, genome: [4.16, 3.94, 1.59, 4.477971063687605]
19		fitness: 52.2, genome: [2.25, 3.13, 1.54, 4.114217302878586]
20		fitness: 61.4, genome: [3.36, 3.35, 1.54, 4.415558420822357]
21		fitness: 70.2, genome: [3.12, 3.19, 1.64, 4.184186327962391]
22		fitness: 56.8, genome: [3.12, 3.19, 1.64, 4.184186327962391]
23		fitness: 60.2, genome: [3.26, 3.26, 1.6, 4.094733608530818]
24		fitness: 62.6, genome: [3.12, 3.22, 1.58, 4.151243626395101]
25		fitness: 56.0, genome: [3.68, 3.56, 1.6, 4.120698950902684]
26		fitness: 66.6, genome: [3.68, 3.56, 1.6, 4.120698950902684]
27		fitness: 60.4, genome: [3.57, 3.5, 1.59, 4.387676362553629]
28		fitness: 61.2, genome: [3.67, 3.99, 1.6, 4.246201767852122]
29		fitness: 62.6, genome: [3.65, 4.9, 1.59, 4.315093007900636]
30		fitness: 62.0, genome: [3.58, 1.6, 1.59, 4.242872993785993]
31		fitness: 65.8, genome: [3.59, 3.24, 1.59, 4.270507596886127]
32		fitness: 61.2, genome: [3.59, 1.39, 1.59, 4.270507596886127]
33		fitness: 73.2, genome: [3.49, 3.37, 1.86, 4.25167825259412]
34		fitness: 64.8, genome: [3.49, 3.37, 1.86, 4.25167825259412]

