GEN		MAX FITNESS
0		88.4
1		82.8
2		73.6
3		58.2
4		58.0
5		71.2
6		59.4
7		73.8
8		62.2
9		73.4
10		64.2
11		65.0
12		67.2
13		59.4
14		75.4
15		66.4
16		52.6
17		66.8
18		70.2
19		64.6
20		55.6
21		62.0
22		56.0
23		57.0
24		68.6
25		64.8
26		61.0
27		61.2
28		62.4
29		60.2
30		60.0
31		56.4
32		56.6
33		64.4
34		58.4

GEN		AVG FITNESS
0		54.885714285714286
1		48.08571428571429
2		48.62857142857143
3		41.42857142857143
4		44.628571428571426
5		51.114285714285714
6		45.91428571428571
7		54.4
8		43.8
9		45.42857142857143
10		44.94285714285714
11		46.857142857142854
12		46.142857142857146
13		43.457142857142856
14		49.800000000000004
15		42.228571428571435
16		32.714285714285715
17		52.714285714285715
18		49.48571428571428
19		48.25714285714286
20		42.457142857142856
21		42.68571428571429
22		40.94285714285714
23		45.971428571428575
24		44.942857142857136
25		47.97142857142857
26		34.25714285714286
27		39.8
28		43.22857142857142
29		41.285714285714285
30		42.74285714285715
31		35.228571428571435
32		45.34285714285714
33		41.94285714285714
34		37.371428571428574

GEN		BEST INDIVIDUAL
0		fitness: 88.4, genome: [4.87, 3.31, 1.32, 3.6436927872570135]
1		fitness: 82.8, genome: [4.87, 3.31, 1.32, 3.6436927872570135]
2		fitness: 73.6, genome: [4.54, 4.39, 1.74, 2.7165569389215403]
3		fitness: 58.2, genome: [4.54, 4.39, 1.74, 2.7165569389215403]
4		fitness: 58.0, genome: [4.56, 2.04, 1.72, 3.32409323020894]
5		fitness: 71.2, genome: [4.86, 4.43, 1.41, 3.6038476738190406]
6		fitness: 59.4, genome: [4.59, 2.64, 1.48, 3.4399320617772227]
7		fitness: 73.8, genome: [4.71, 3.95, 1.49, 4.5343686466937605]
8		fitness: 62.2, genome: [4.71, 3.95, 1.49, 4.5343686466937605]
9		fitness: 73.4, genome: [4.71, 3.95, 1.49, 4.5343686466937605]
10		fitness: 64.2, genome: [3.84, 2.87, 1.52, 4.813206841419525]
11		fitness: 65.0, genome: [3.88, 3.44, 1.61, 4.3597547044574565]
12		fitness: 67.2, genome: [4.59, 4.12, 1.58, 3.650298049026998]
13		fitness: 59.4, genome: [4.59, 4.12, 1.58, 3.650298049026998]
14		fitness: 75.4, genome: [3.79, 1.94, 1.59, 3.3600189584818327]
15		fitness: 66.4, genome: [4.32, 1.75, 1.59, 4.469514810360889]
16		fitness: 52.6, genome: [4.34, 3.72, 1.59, 3.434975739178173]
17		fitness: 66.8, genome: [4.11, 3.38, 1.59, 4.216544470169869]
18		fitness: 70.2, genome: [4.11, 3.31, 1.59, 2.5096087148496307]
19		fitness: 64.6, genome: [4.59, 3.37, 1.59, 4.118922288406634]
20		fitness: 55.6, genome: [4.59, 3.37, 1.59, 4.118922288406634]
21		fitness: 62.0, genome: [4.59, 3.37, 1.59, 4.118922288406634]
22		fitness: 56.0, genome: [3.16, 2.2, 1.62, 3.6426898537088683]
23		fitness: 57.0, genome: [4.54, 3.04, 2.88, 3.6575137021387465]
24		fitness: 68.6, genome: [4.48, 2.56, 1.97, 2.073673408222729]
25		fitness: 64.8, genome: [3.41, 2.27, 2.93, 3.598474600366348]
26		fitness: 61.0, genome: [4.27, 3.3, 2.14, 2.732645333344811]
27		fitness: 61.2, genome: [4.17, 3.11, 2.08, 2.587264640653123]
28		fitness: 62.4, genome: [4.17, 3.11, 2.08, 2.587264640653123]
29		fitness: 60.2, genome: [4.17, 3.11, 2.08, 2.587264640653123]
30		fitness: 60.0, genome: [4.27, 3.04, 2.21, 2.137568193003823]
31		fitness: 56.4, genome: [3.21, 3.11, 1.72, 2.587197052224764]
32		fitness: 56.6, genome: [3.21, 3.11, 1.72, 2.587197052224764]
33		fitness: 64.4, genome: [3.53, 3.26, 2.11, 1.998756977652385]
34		fitness: 58.4, genome: [3.59, 3.75, 2.14, 1.4338725120201659]

